ordem,id,tipo,seccao,ficheiro,duracao_s,transicao_s,inicio_s,fim_s,dominante_s,solo_s,movimento,texto_ecra,tratamento,duracao_original_s,variacao_pct,fonte_imagem,nota,textos_fotos,textos_opcoes
1,,video,"demo v3, o flash-forward",20th Century Fox Intro HD igualado.mp4,20.8,0.0,0.0,20.8,20.8,20.8,Nenhum,,fiel,,,,,,
2,,video,"demo v3, o flash-forward",intro_clara_tiago_5 igualado.mp4,14.44,0.0,20.8,35.24,14.44,14.44,Nenhum,,fiel,,,,,,
3,,contador,"demo v3, o flash-forward",,9.0,0.7,34.54,43.54,8.3,7.6,Nenhum,04/10/2026>25/12/2025|4 de outubro de 2026;25/12/2025=o pedido,fiel,,,,,,
4,f0260,foto,"demo v3, o flash-forward",IMG_2067.jpeg,15.47,0.7,42.84,58.31,14.77,14.07,Aproxima 3.5,,fundo,,,"0.3930,0.7410",,,
5,f0052,foto,"demo v3, o flash-forward",20260101_011410.jpg,6.4,0.0,58.31,64.71,6.4,6.4,Aproxima 2.0,,fundo,,,"0.4500,0.3800",,,
6,f0053,foto,"demo v3, o flash-forward",20260101_011607.jpg,7.1,0.0,64.71,71.81,7.1,7.1,Zoom in,,fundo,,,,,,
7,,cartao,"demo v3, o flash-forward",,3.5,0.7,71.11,74.61,2.8,2.1,Zoom in,Mas como é que chegámos aqui?,fiel,,,,,,
8,,contador,"demo v3, o flash-forward",,9.0,0.7,73.91,82.91,8.3,7.6,Nenhum,2025>1995,fiel,,,,,,
9,,marcos,"demo v3, o flash-forward",,15.0,0.0,82.91,97.91,15.0,15.0,Nenhum,"1995@0-0.674731|17/01 Terramoto em Kobe, Japão @kobe, japao.png;26/03 Abrem as fronteiras de Schengen @Schengen_Agreement_(1985)_signatures.jpg;24/08 Sai o Windows 95 @Windows95.jpeg;04/09 Nasce o SAPO, em Aveiro @sapo_42c89ed355959aa80b08ddd3b3b79ffc3555d337.jpg;*12/09 Nasce o Tiago;01/10 Guterres ganha as eleições @guterres.jpg;24/11 Salvam-se as gravuras do Côa @gravuras_coa.jpg;*24/11 Nasce a Clara",fiel,,,,,,
10,,marcos,"demo v3, o flash-forward",,9.0,0.0,97.91,106.91,9.0,9.0,Nenhum,"1995@0.678731-0.696237c|17/01 Terramoto em Kobe, Japão @kobe, japao.png;26/03 Abrem as fronteiras de Schengen @Schengen_Agreement_(1985)_signatures.jpg;24/08 Sai o Windows 95 @Windows95.jpeg;04/09 Nasce o SAPO, em Aveiro @sapo_42c89ed355959aa80b08ddd3b3b79ffc3555d337.jpg;*12/09 Nasce o Tiago;01/10 Guterres ganha as eleições @guterres.jpg;24/11 Salvam-se as gravuras do Côa @gravuras_coa.jpg;*24/11 Nasce a Clara",fiel,,,,,,
11,,cartao,"demo v3, o flash-forward",,3.6,0.7,106.21,109.81,2.9,2.2,Zoom in,Nasce o segundo filho de Graça e Alberto,fiel,,,,,,
12,f0103,foto,"demo v3, o flash-forward",21-46.jpg,4.0,0.7,109.11,113.11,3.3,2.6,Zoom in,Tiago,fundo,,,,,,
13,f0153,foto,"demo v3, o flash-forward",21-49.jpg,4.0,0.7,112.41,116.41,3.3,2.6,Zoom in,Com o pai,fundo,,,,,,
14,f0351,foto,"demo v3, o flash-forward",1996_tiago_e_irmao_mais_velho.jpg,4.0,0.7,115.71,119.71,3.3,2.6,Zoom in,"Agarradinho pelo seu irmão mais velho, mas a tentar fugir",fundo,,,,,,
15,f0104,foto,"demo v3, o flash-forward",21-47.jpg,4.0,0.7,119.01,123.01,3.3,2.6,Zoom in,E era amoroso,fundo,,,,,,
16,f0105,foto,"demo v3, o flash-forward",21-48.jpg,4.0,0.7,122.31,126.31,3.3,2.6,Zoom in,"Com a mãe, o mano e as tias (que podiam ser primas pela idade).",fundo,,,,,,
